shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
HWY280_SHP,33.445679,-86.734261,201,
HWY280_SHP,33.445759,-86.734039,202,
HWY280_SHP,33.445992,-86.73259,203,
HWY280_SHP,33.446171,-86.732132,204,
HWY280_SHP,33.446381,-86.73185,205,
HWY280_SHP,33.447369,-86.731148,206,
HWY280_SHP,33.448132,-86.730324,207,
HWY280_SHP,33.448479,-86.730042,208,
HWY280_SHP,33.448761,-86.729889,209,
HWY280_SHP,33.449059,-86.729797,210,
HWY280_SHP,33.449692,-86.729752,211,
HWY280_SHP,33.449692,-86.729752,212,
HWY280_SHP,33.449669,-86.729469,213,
HWY280_SHP,33.44957,-86.729088,214,
HWY280_SHP,33.44957,-86.729088,215,
HWY280_SHP,33.45005,-86.72908,216,
HWY280_SHP,33.45013,-86.729134,217,
HWY280_SHP,33.450359,-86.729477,218,
HWY280_SHP,33.45084,-86.729591,219,
HWY280_SHP,33.451141,-86.729721,220,
HWY280_SHP,33.45163,-86.730179,221,
HWY280_SHP,33.452,-86.730217,222,
HWY280_SHP,33.452,-86.730217,223,
HWY280_SHP,33.451962,-86.730431,224,
HWY280_SHP,33.451679,-86.730812,225,
HWY280_SHP,33.451679,-86.730812,226,
HWY280_SHP,33.451111,-86.730133,227,
HWY280_SHP,33.450932,-86.729988,228,
HWY280_SHP,33.450729,-86.729912,229,
HWY280_SHP,33.4505,-86.729881,230,
HWY280_SHP,33.44923,-86.72995,231,
HWY280_SHP,33.448921,-86.730019,232,
HWY280_SHP,33.44862,-86.730164,233,
HWY280_SHP,33.448189,-86.730522,234,
HWY280_SHP,33.447701,-86.731056,235,
HWY280_SHP,33.446548,-86.731949,236,
HWY280_SHP,33.446339,-86.732201,237,
HWY280_SHP,33.446152,-86.732628,238,
HWY280_SHP,33.445869,-86.734177,239,
HWY280_SHP,33.44577,-86.734428,240,
HWY280_SHP,33.445492,-86.734741,241,
HWY280_SHP,33.445492,-86.734741,242,
HWY280_SHP,33.445389,-86.734962,243,
HWY280_SHP,33.445358,-86.735237,244,
HWY280_SHP,33.44627,-86.736511,245,
HWY280_SHP,33.446781,-86.737122,246,
HWY280_SHP,33.45055,-86.741203,247,
HWY280_SHP,33.453732,-86.74456,248,
HWY280_SHP,33.45509,-86.746117,249,
HWY280_SHP,33.456131,-86.747498,250,
HWY280_SHP,33.457588,-86.749779,251,
HWY280_SHP,33.460579,-86.754791,252,
HWY280_SHP,33.461391,-86.755966,253,
HWY280_SHP,33.46188,-86.756393,254,
HWY280_SHP,33.462479,-86.756729,255,
HWY280_SHP,33.463081,-86.756958,256,
HWY280_SHP,33.464169,-86.75705,257,
HWY280_SHP,33.466759,-86.757118,258,
HWY280_SHP,33.467178,-86.757187,259,
HWY280_SHP,33.46788,-86.757492,260,
HWY280_SHP,33.468559,-86.757927,261,
HWY280_SHP,33.468979,-86.758331,262,
HWY280_SHP,33.46928,-86.758713,263,
HWY280_SHP,33.470879,-86.761047,264,
HWY280_SHP,33.47134,-86.761848,265,
HWY280_SHP,33.473671,-86.766457,266,
HWY280_SHP,33.47435,-86.767708,267,
HWY280_SHP,33.475491,-86.77005,268,
HWY280_SHP,33.476021,-86.770943,269,
HWY280_SHP,33.476822,-86.771896,270,
HWY280_SHP,33.479321,-86.773811,271,
HWY280_SHP,33.479858,-86.77433,272,
HWY280_SHP,33.480461,-86.775124,273,
HWY280_SHP,33.482319,-86.777908,274,
HWY280_SHP,33.483391,-86.779427,275,
HWY280_SHP,33.483749,-86.780197,276,
HWY280_SHP,33.483952,-86.78093,277,
HWY280_SHP,33.48415,-86.784416,278,
HWY280_SHP,33.48415,-86.784416,279,
HWY280_SHP,33.48431,-86.785118,280,
HWY280_SHP,33.484581,-86.785728,281,
HWY280_SHP,33.484928,-86.78614,282,
HWY280_SHP,33.485409,-86.786438,283,
HWY280_SHP,33.485729,-86.786537,284,
HWY280_SHP,33.486259,-86.786613,285,
HWY280_SHP,33.486778,-86.786636,286,
HWY280_SHP,33.487671,-86.786583,287,
HWY280_SHP,33.488731,-86.786591,288,
HWY280_SHP,33.490501,-86.786728,289,
HWY280_SHP,33.491692,-86.786713,290,
HWY280_SHP,33.493038,-86.786903,291,
HWY280_SHP,33.493641,-86.787018,292,
HWY280_SHP,33.493938,-86.787132,293,
HWY280_SHP,33.494461,-86.78743,294,
HWY280_SHP,33.495739,-86.788399,295,
HWY280_SHP,33.4967,-86.78891,296,
HWY280_SHP,33.497101,-86.789009,297,
HWY280_SHP,33.49754,-86.789047,298,
HWY280_SHP,33.498638,-86.789078,299,
HWY280_SHP,33.498638,-86.789078,300,
HWY280_SHP,33.500832,-86.789047,301,
HWY280_SHP,33.501068,-86.788971,302,
HWY280_SHP,33.50116,-86.788658,303,
HWY280_SHP,33.50116,-86.788658,304,
HWY280_SHP,33.50108,-86.78846,305,
HWY280_SHP,33.50108,-86.78846,306,
HWY280_SHP,33.501419,-86.788269,307,
HWY280_SHP,33.501629,-86.788223,308,
HWY280_SHP,33.501881,-86.788239,309,
HWY280_SHP,33.502048,-86.788712,310,
HWY280_SHP,33.502232,-86.788811,311,
HWY280_SHP,33.50259,-86.788628,312,
HWY280_SHP,33.502628,-86.788559,313,
HWY280_SHP,33.502899,-86.788391,314,
HWY280_SHP,33.502899,-86.788391,315,
HWY280_SHP,33.503078,-86.789047,316,
HWY280_SHP,33.503078,-86.7892,317,
HWY280_SHP,33.50304,-86.78936,318,
HWY280_SHP,33.50288,-86.789581,319,
HWY280_SHP,33.50288,-86.789581,320,
HWY280_SHP,33.502689,-86.789558,321,
HWY280_SHP,33.50111,-86.790253,322,
HWY280_SHP,33.500309,-86.790077,323,
HWY280_SHP,33.500309,-86.790077,324,
HWY280_SHP,33.499432,-86.786461,325,
HWY280_SHP,33.499321,-86.78582,326,
HWY280_SHP,33.499298,-86.784927,327,
HWY280_SHP,33.499451,-86.784142,328,
HWY280_SHP,33.499641,-86.783607,329,
HWY280_SHP,33.499649,-86.783386,330,
HWY280_SHP,33.499649,-86.783386,331,
HWY280_SHP,33.499069,-86.783028,332,
HWY280_SHP,33.498619,-86.782433,333,
HWY280_SHP,33.498619,-86.782433,334,
HWY280_SHP,33.498508,-86.782463,335,
HWY280_SHP,33.498402,-86.782372,336,
HWY280_SHP,33.498371,-86.782249,337,
HWY280_SHP,33.498451,-86.782112,338,
HWY280_SHP,33.498562,-86.782097,339,
HWY280_SHP,33.49865,-86.782188,340,
HWY280_SHP,33.49868,-86.782341,341,
HWY280_SHP,33.498619,-86.782433,342,
HWY280_SHP,33.498959,-86.782921,343,
HWY280_SHP,33.499649,-86.783386,344,
HWY280_SHP,33.499649,-86.783386,345,
HWY280_SHP,33.499641,-86.783607,346,
HWY280_SHP,33.499451,-86.784142,347,
HWY280_SHP,33.499298,-86.784927,348,
HWY280_SHP,33.499321,-86.78582,349,
HWY280_SHP,33.499432,-86.786461,350,
HWY280_SHP,33.500309,-86.790077,351,
HWY280_SHP,33.500309,-86.790077,352,
HWY280_SHP,33.500259,-86.790741,353,
HWY280_SHP,33.499569,-86.795807,354,
HWY280_SHP,33.499569,-86.795807,355,
HWY280_SHP,33.500591,-86.796272,356,
HWY280_SHP,33.505772,-86.799789,357,
HWY280_SHP,33.505878,-86.799797,358,
HWY280_SHP,33.50761,-86.800911,359,
HWY280_SHP,33.50864,-86.801682,360,
HWY280_SHP,33.510929,-86.803177,361,
HWY280_SHP,33.511501,-86.803612,362,
HWY280_SHP,33.511551,-86.803711,363,
HWY280_SHP,33.513458,-86.804993,364,
HWY280_SHP,33.514359,-86.805557,365,
HWY280_SHP,33.514488,-86.805557,366,
HWY280_SHP,33.514488,-86.805557,367,
HWY280_SHP,33.512451,-86.809914,368,
HWY280_SHP,33.512451,-86.809914,369,
HWY280_SHP,33.511768,-86.809441,370,
HWY280_SHP,33.511768,-86.809441,371,
HWY280_SHP,33.511951,-86.809067,372,
