trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
hwy280S4,15:41:00,15:41:00,summit,12,,0,0,
hwy280S4,,,5points,13,,0,0,
hwy280S4,,,MorrisA20S,14,,0,0,
hwy280S4,16:06:00,16:06:00,central,15,,0,0,
hwy280S5,16:10:00,16:10:00,central,1,,0,0,
hwy280S5,,,MorrisA20S,2,,0,0,
hwy280S5,,,5points,3,,0,0,
hwy280S5,16:35:00,16:35:00,summit,4,,0,0,
hwy280S5,16:50:00,16:50:00,colonnade,5,,0,0,
hwy280S5,16:56:00,16:56:00,chickfila280,6,,0,0,
hwy280S5,17:15:00,17:20:00,walmart280,7,,0,0,
hwy280S5,17:25:00,17:25:00,chickfila280,8,,0,0,
hwy280S5,17:35:00,17:35:00,colonnade,9,,0,0,
hwy280S5,17:41:00,17:41:00,summit,10,,0,0,
hwy280S5,,,5points,11,,0,0,
hwy280S5,,,MorrisA20S,12,,0,0,
hwy280S5,18:06:00,18:06:00,central,13,,0,0,
hwy280S6,18:10:00,18:10:00,central,1,,0,0,
hwy280S6,,,MorrisA20S,2,,0,0,
hwy280S6,,,5points,3,,0,0,
hwy280S6,18:35:00,18:35:00,summit,4,,0,0,
hwy280S6,18:50:00,18:50:00,colonnade,5,,0,0,
hwy280S6,18:56:00,18:56:00,chickfila280,6,,0,0,
hwy280S6,19:15:00,19:20:00,walmart280,7,,0,0,
hwy280S6,19:25:00,19:25:00,chickfila280,8,,0,0,
hwy280S6,19:35:00,19:35:00,colonnade,9,,0,0,
hwy280S6,19:41:00,19:41:00,summit,10,,0,0,
hwy280S6,,,5points,11,,0,0,
hwy280S6,,,MorrisA20S,12,,0,0,
hwy280S6,20:06:00,20:06:00,central,13,,0,0,
hwy280S7,20:10:00,20:10:00,central,1,,0,0,
hwy280S7,,,MorrisA20S,2,,0,0,
hwy280S7,,,5points,3,,0,0,
hwy280S7,20:35:00,20:35:00,summit,4,,0,0,
hwy280S7,20:50:00,20:50:00,colonnade,5,,0,0,
hwy280S7,20:56:00,20:56:00,marriott280,6,,0,0,
hwy280S7,21:01:00,21:01:00,chickfila280,7,,0,0,
hwy280S7,21:15:00,21:20:00,walmart280,8,,0,0,
hwy280S7,21:25:00,21:25:00,chickfila280,9,,0,0,
hwy280S7,21:30:00,21:30:00,marriott280,10,,0,0,
hwy280S7,21:35:00,21:35:00,colonnade,11,,0,0,
hwy280S7,21:41:00,21:41:00,summit,12,,0,0,
hwy280S7,,,5points,13,,0,0,
hwy280S7,,,MorrisA20S,14,,0,0,
hwy280S7,22:06:00,22:06:00,central,15,,0,0,
